"question_id","evaluation_group","evaluation_set","category","primary_document_type","question","reference_answer","required_facts","acceptable_evidence","expected_source","expected_metadata_key","expected_metadata_value","parent_ablation","generation_method","review_status"
"S-P01","単一文書","diagnostic","ppt_overview","powerpoint","2026年1〜3月に発生した外部AI関連の事案は全部で何件あり、そのうちHighは何件でしたか。","全14件で、そのうちHighは3件である。","検知件数: 14件|うち重大度Highは3件","ai_incident_report_2026q1.pptx#slide=2","ai_incident_report_2026q1.pptx","slide","2","false","assistant_draft_after_api_policy_block","verified"
"S-P02","単一文書","diagnostic","ppt_image_settings","powerpoint","MeetingAI Proの設定画面では、自動保存、参加者名の記録、顧客名の伏せ字、利用申請はそれぞれどうなっていましたか。","自動保存はON、参加者名の記録はON、顧客名の伏せ字はOFF、AI-REQ-17は未申請である。","自動保存ON|参加者名ON|顧客名伏せ字OFF|AI-REQ-17未申請","ai_incident_report_2026q1.pptx#slide=5","ai_incident_report_2026q1.pptx","slide","5","false","curated_existing","verified"
"S-P03","単一文書","diagnostic","ppt_training_action","powerpoint","AI利用の教育完了率が低い部門は、翌月も新たに利用申請できますか。","教育完了率が90%未満の部門は、翌月の利用申請を一時保留する。","教育完了率が90%未満の部門|翌月の利用申請を一時保留","ai_incident_report_2026q1.pptx#slide=6","ai_incident_report_2026q1.pptx","slide","6","false","assistant_draft_after_api_policy_block","verified"
"S-D01","単一文書","diagnostic","pdf_incident_form","pdf","重大なAI利用違反を見つけた場合、どのフォームで報告し、電話やTeamsでも連絡する必要がありますか。","フォームはAI-INC-09を使い、CriticalまたはHighでは電話連絡とTeams #sec-warroomへの投稿を併用する。","報告フォームは AI-INC-09 を使用する|CriticalまたはHighの場合|電話連絡|Teams #sec-warroom への投稿を併用する","ai_application_manual.pdf#page=2","ai_application_manual.pdf","page","2","false","curated_existing","verified"
"S-D02","単一文書","diagnostic","pdf_process_flow","pdf","外部AIを申請してから利用ログを保存するまで、どのような順番で進めますか。","申請、匿名化確認、承認、利用、ログ保管の順で進める。","申請|匿名化確認|承認|利用|ログ保管","ai_application_manual.pdf#page=3","ai_application_manual.pdf","page","3","false","assistant_draft_after_api_policy_block","verified"
"S-D03","単一文書","diagnostic","pdf_change_review","pdf","承認後に利用内容を変える場合、どの変更で再確認が必要ですか。また、利用開始後はいつ運用状況を確認しますか。","利用サービス、入力データの種類、利用部門、保存期間、利用目的を変更する場合は再承認の要否を確認し、利用開始後1か月を目安に実運用との差を確認する。","利用サービス|入力データの種類|利用部門|保存期間|利用目的|変更内容を記録し、再承認の要否を確認する|利用開始後1か月を目安に","ai_application_manual.pdf#page=4","ai_application_manual.pdf","page","4","false","assistant_draft_after_api_policy_block","verified"
"X01","複数文書","diagnostic","cross_full_operating_check","mixed","社内で文章生成AIを導入することになりました。利用前に確認する禁止情報と申請、会議機能の設定、問題が起きたときの連絡期限をまとめて教えてください。","機密区分A・個人情報・認証情報・契約制限情報は入力しない。AI-REQ-17を利用開始3営業日前までに提出する。自動アップロードは申請前に無効化する。High事案は1時間以内にセキュリティ窓口へ連絡する。","機密区分A|個人情報|認証情報|契約制限情報|申請フォーム AI-REQ-17|利用開始日の3営業日前までに提出する|自動アップロード設定は申請前に無効化する|High|1時間以内|セキュリティ窓口","ai_usage_policy.docx#section=2. 入力禁止情報|ai_application_manual.pdf#page=1|ai_incident_report_2026q1.pptx#slide=4|ai_escalation_sla.xlsx#sheet_name=エスカレーションSLA&row=High","ai_usage_policy.docx|ai_application_manual.pdf|ai_incident_report_2026q1.pptx|ai_escalation_sla.xlsx","","","false","curated_existing","verified"
"X02","複数文書","diagnostic","cross_meeting_incident","mixed","議事録AIから録音と参加者名が社外へ送信されてしまいました。事前にしておくべき設定と、入力してはいけない項目、発見後の初動を教えてください。","自動アップロードを申請前に無効化し、参加者名・顧客名・録音URLを入力しない。疑いを発見したらサービス名、送信時刻、概要、影響範囲を控え、1時間以内にセキュリティ窓口へ連絡する。","自動アップロード設定は申請前に無効化する|参加者名、顧客名、録音URLは外部AIへ入力しない|発見から1時間以内にセキュリティ窓口へ連絡する|利用サービス名|送信時刻|入力内容の概要|影響範囲","ai_incident_report_2026q1.pptx#slide=4|ai_usage_policy.docx#section=9. 利用中の管理|ai_application_manual.pdf#page=2","ai_incident_report_2026q1.pptx|ai_usage_policy.docx|ai_application_manual.pdf","","","false","curated_existing","verified"
"X03","複数文書","diagnostic","cross_mistyped_input","mixed","外部AIに入力禁止の情報を誤って送ったかもしれません。いつまでに報告し、何を記録して、証拠はどう扱えばよいですか。","発見から1時間以内にセキュリティ窓口へ連絡し、サービス名、送信時刻、入力概要、影響範囲を記録する。入力内容を再現したり、自己判断で証跡を削除したりしない。","発見から1時間以内にセキュリティ窓口へ連絡|利用サービス名|送信時刻|入力内容の概要|影響範囲|送信内容を再現して確認したり|自己判断で証跡を消去したりしない","ai_usage_policy.docx#section=4. 違反時の初動|ai_application_manual.pdf#page=2","ai_usage_policy.docx|ai_application_manual.pdf","","","false","curated_existing","verified"
"X04","複数文書","diagnostic","cross_high_channel","mixed","未公表の決算情報を外部AIに送ったかもしれません。どの重大度で、いつまでにどこへ、どの手段で連絡すればよいですか。","重大度Highとして1時間以内にセキュリティ窓口へ連絡し、電話とTeams #sec-warroomを併用する。","High|1時間以内|セキュリティ窓口|電話|Teams #sec-warroom","ai_escalation_sla.xlsx#sheet_name=エスカレーションSLA&row=High|ai_application_manual.pdf#page=2","ai_escalation_sla.xlsx|ai_application_manual.pdf","","","false","curated_existing","verified"
"X05","複数文書","diagnostic","cross_application_readiness","mixed","はじめて外部AIを業務で使います。申請に記載する内容と提出期限、承認が下りるまでやってはいけないことを教えてください。","AI-REQ-17に利用目的、入力予定データ、匿名化方法、保存期間を記録し、利用開始3営業日前までに提出する。承認前の試行入力は禁止される。","AI-REQ-17|利用目的|入力予定データ|匿名化方法|保存期間|利用開始日の3営業日前までに提出する|承認前に社内資料を試行入力してはならない","ai_usage_policy.docx#section=3.3 利用開始前の申請|ai_application_manual.pdf#page=1","ai_usage_policy.docx|ai_application_manual.pdf","","","false","assistant_draft_after_api_policy_block","verified"
"X06","複数文書","diagnostic","cross_urgent_poc","mixed","明日の打ち合わせに向けて、承認前の外部AIで顧客データを試したいです。これは可能ですか。代わりに何を使えますか。","承認前の試行入力はできない。PoCでも同じ規程に従い、公開済み資料または合成データを使う。","承認前に社内資料を試行入力してはならない|PoCや短期検証でも、本番利用と同じ入力禁止情報と承認手順を適用する|公開済み資料|合成データ","ai_usage_policy.docx#section=7. 利用目的の確認|ai_usage_policy.docx#section=11. 営業部門での利用|ai_application_manual.pdf#page=1","ai_usage_policy.docx|ai_application_manual.pdf","","","false","curated_existing","verified"
"X07","複数文書","diagnostic","cross_people_decision","mixed","AIに人事評価の案を作らせたいのですが、最終判断で気をつけることと、利用前に必要な手続きを教えてください。","人事評価など個人へ影響する判断をAI出力だけで確定してはならず、人が確認する。外部AIを使う場合はAI-REQ-17を3営業日前までに提出し、承認前に試行入力しない。","対象者に重大な影響を与える判断をAI出力に委ねてはならない|原資料と照合し、必要な承認とレビューを受ける|申請フォーム AI-REQ-17|利用開始日の3営業日前までに提出する|承認前に社内資料を試行入力してはならない","ai_usage_policy.docx#section=13. 管理部門での利用|ai_application_manual.pdf#page=1","ai_usage_policy.docx|ai_application_manual.pdf","","","false","curated_existing","verified"
"X08","複数文書","diagnostic","cross_change_management","mixed","承認済みの外部AIで、入力するデータや利用目的を変えたいです。何を確認し、顧客事例を含む場合はどの記録を見ればよいですか。","変更内容を記録して再承認の要否を確認し、個別事例を含む場合は規程第17章の確認記録と承認条件を参照する。","変更内容を記録|再承認の要否|規程第17章|確認記録|承認条件","ai_application_manual.pdf#page=4|ai_usage_policy.docx#section=17. 顧客事例を含む利用内容の変更","ai_application_manual.pdf|ai_usage_policy.docx","","","false","assistant_draft_after_api_policy_block","verified"
"X09","複数文書","diagnostic","cross_log_governance","mixed","外部AIの利用ログはどのように保管・確認しますか。また、最近の事案を受けて追加された再発防止策も教えてください。","ログは365日保管し月次で棚卸しする。再発防止策では月次ログ棚卸しとAI-REQ-17の確認項目追加が示されている。","365日保管|月次で棚卸し|AI-REQ-17に入力禁止情報チェックを追加","ai_usage_policy.docx#section=5. 監査ログ|ai_incident_report_2026q1.pptx#slide=6","ai_usage_policy.docx|ai_incident_report_2026q1.pptx","","","false","assistant_draft_after_api_policy_block","verified"
"X10","複数文書","diagnostic","cross_training_application","mixed","AI利用の教育完了率が基準に届かなかった部門です。外部AIの利用を再開するには、申請上どのような対応が必要ですか。","教育完了率90%未満の部門は翌月の利用申請が一時保留される。再開時はAI-REQ-17を期限までに提出し、承認を得る必要がある。","教育完了率が90%未満の部門|翌月の利用申請を一時保留|申請フォーム AI-REQ-17|利用開始日の3営業日前までに提出する|利用サービスの承認状況を確認する","ai_incident_report_2026q1.pptx#slide=6|ai_application_manual.pdf#page=1","ai_incident_report_2026q1.pptx|ai_application_manual.pdf","","","false","assistant_draft_after_api_policy_block","verified"
"X11","複数文書","diagnostic","cross_image_traceability","mixed","図や設定画面も検索対象にしたいのですが、元資料のどこにあったか分かるように何を残し、内容はどこまで読み取る必要がありますか。","元ページやslideと対応する位置情報を残し、図の順序・判断分岐・期限・担当者・設定値に加えて、プロンプト、表、画像、ファイル名、固有表現を確認する。","原ページと対応付けられる位置情報|矢印が示す順序、判断分岐、期限、担当者、画面内の設定値|プロンプトの例示|貼り付けた表|画像|ファイル名|出力に残る固有表現","ai_application_manual.pdf#page=3|ai_usage_policy.docx#section=17.5 初回利用の点検","ai_application_manual.pdf|ai_usage_policy.docx","","","false","assistant_draft_after_api_policy_block","verified"
"X12","複数文書","diagnostic","cross_meeting_remediation","mixed","MeetingAI Proで起きた事案について、問題だった設定、見つかった経緯、現在の対応状況、再発防止策を教えてください。","自動保存と参加者名がON、顧客名伏せ字がOFF、AI-REQ-17が未申請だった。月次棚卸しで検知され、部門確認中、再発防止タグは議事録設定で、AI-REQ-17に入力禁止情報チェックを追加した。","自動保存ON|参加者名ON|顧客名伏せ字OFF|AI-REQ-17未申請|月次棚卸し|部門確認中|議事録設定|AI-REQ-17に入力禁止情報チェックを追加","ai_incident_report_2026q1.pptx#slide=5|ai_incident_report_2026q1.pptx#slide=6|ai_escalation_sla.xlsx#sheet_name=監査ログサンプル&row=AI-2026-0508-011","ai_incident_report_2026q1.pptx|ai_escalation_sla.xlsx","","","false","curated_existing","verified"
"P01","文脈復元","diagnostic","parent_word_scope","word","顧客名を消せば、以前に承認された用途のまま顧客事例を使えますか。判断するときに確認すべき点を教えてください。","氏名を伏せるだけでは十分ではなく、固有の出来事、少数の相手先に限定される条件、契約条項、問い合わせ時期、製品構成、地域などの組合せから対象を推定できないか確認する。","承認済み利用であっても、個別ケースに関する記録を追加する場合は、当初の入力範囲を超える利用として扱う|対象の組織・案件・担当者を推定できないことを確認する|匿名化は氏名を伏せるだけでは十分でない|固有の出来事|少数の相手先に限定される条件|取扱いを指定する契約条項|問い合わせの時期、製品構成、地域、担当部署、対応経緯の組合せも再識別の手掛かりになり得る","ai_usage_policy.docx#section=17.1 適用条件","ai_usage_policy.docx","section","17.1 適用条件","true","curated_existing","verified"
"P02","文脈復元","diagnostic","parent_word_contract","word","他社との共同案件のメモを営業向けの回答例に使いたいです。契約条件と添付ファイルについて、事前に何を確認すればよいですか。","NDA、共同案件、苦情や障害に関する履歴の契約条件を確認し、添付、画面キャプチャ、ファイル名、URL、コメント、変更履歴にも制限情報がないか確認する。","NDA|共同案件|苦情や障害に関する履歴|添付|画面キャプチャ|ファイル名|URL|コメント|変更履歴","ai_usage_policy.docx#section=17.2 利用前の確認","ai_usage_policy.docx","section","17.2 利用前の確認","true","curated_existing","verified"
"P03","文脈復元","diagnostic","parent_word_approval","word","これまで一般資料だけを使っていた外部AIに、個別の顧客事例も入力したいです。開始前の手続きと、開始後の最初の10件で確認することを教えてください。","AI-REQ-17の変更申請要否を確認し、承認までは入力しない。開始後10件を点検し、既存承認との差を入力元、識別可能性、保存または共有設定、契約上の取扱いに分けて記録する。","AI-REQ-17の変更申請が必要かを情報管理責任者に確認する|追加するデータの範囲と匿名化方法を記載し、承認を得るまで入力しない|最初の10件の入力と出力|承認した範囲を超える情報が混入していないかを点検する|既存承認との違いを|入力元|識別可能性|保存又は共有設定|契約上の取扱い","ai_usage_policy.docx#section=17.3 変更時の手続き","ai_usage_policy.docx","section","17.3 変更時の手続き","true","curated_existing","verified"
"P04","文脈復元","diagnostic","parent_word_handoff","word","外部AIの担当者が交代します。後任に引き継ぐ承認条件と、設定を変えるだけでは使えるようにならない情報について教えてください。","承認された入力元、匿名化の手順、保存先、共有範囲を引き継ぎ、添付ファイル名、リンク権限、ダウンロード先、学習利用設定を確認する。保存先や共有先を整えただけでは、利用不可の個別記録は使えない。","承認された入力元|匿名化の手順|保存先|共有範囲|添付ファイル名|リンク権限|出力のダウンロード先|外部サービスの学習利用設定|保存先や共有先を整えただけで、利用不可の個別記録を使えるようにはならない","ai_usage_policy.docx#section=17.4 承認後の受け渡し確認","ai_usage_policy.docx","section","17.4 承認後の受け渡し確認","true","curated_existing","verified"
"P05","文脈復元","diagnostic","parent_word_logging","word","監査に備えて外部AIの利用ログを整えたいです。保存期間、確認頻度、記録しておく項目を教えてください。","365日保管し、月次で棚卸しする。申請ID、利用者、利用部門、利用サービス、利用目的、入力範囲、承認日、保存期間、利用開始日と終了日を記録する。","承認済みAIの利用ログは365日保管する|外部AIの利用履歴は月次で棚卸し、未承認利用を確認する|申請ID|利用者|利用部門|利用サービス|利用目的|入力範囲|承認日|保存期間|利用開始日と終了日","ai_usage_policy.docx#section=5. 監査ログ","ai_usage_policy.docx","section","5. 監査ログ","true","assistant_draft_after_api_policy_block","verified"
"P06","文脈復元","diagnostic","parent_excel_high_row","excel","どのような情報を外部AIに送るとHigh事案になりますか。Highだった場合の連絡期限と窓口、承認者、報告期限も教えてください。","機密区分A、未公表の財務情報、NDA対象が該当し、1時間以内にセキュリティ窓口へ連絡する。承認者は情報セキュリティ責任者、報告期限は翌営業日正午である。","機密区分A、未公表財務、NDA資料を外部AIへ入力|1時間以内|セキュリティ窓口|情報セキュリティ責任者|翌営業日12:00","ai_escalation_sla.xlsx#sheet_name=エスカレーションSLA&row=High","ai_escalation_sla.xlsx","sheet_name","エスカレーションSLA","true","assistant_draft_after_api_policy_block","verified"
"P07","文脈復元","diagnostic","parent_ppt_incident_slide","powerpoint","議事録AIから情報が外部送信された事案では、何が送られ、どのように発見・報告されましたか。再発防止のために止めるべき設定も教えてください。","録音と参加者名が外部送信され、DLPで検知されて45分後に報告された。再発防止として申請前に自動アップロードを無効化し、参加者名・顧客名・録音URLを入力しない。","録音と参加者名を外部クラウドへ自動送信|DLPアラートで検知|45分後にセキュリティ窓口へ報告|自動アップロード設定は申請前に無効化する|参加者名、顧客名、録音URLは外部AIへ入力しない","ai_incident_report_2026q1.pptx#slide=4","ai_incident_report_2026q1.pptx","slide","4","true","assistant_draft_after_api_policy_block","verified"
"P08","文脈復元","diagnostic","parent_pdf_incident_page","pdf","外部AIへの誤入力を報告したいです。連絡期限、記録する内容、使うフォーム、重大な場合の連絡手段、証拠の扱いを教えてください。","1時間以内にセキュリティ窓口へ連絡し、サービス名、送信時刻、概要、影響範囲を記録してAI-INC-09を使う。CriticalまたはHighでは電話とTeams #sec-warroomを併用し、入力を再現したり証跡を自己判断で削除したりしない。","発見から1時間以内にセキュリティ窓口へ連絡する|利用サービス名|送信時刻|入力内容の概要|影響範囲|報告フォームは AI-INC-09 を使用する|CriticalまたはHighの場合|電話連絡|Teams #sec-warroom への投稿を併用する|送信内容を再現して確認したり|自己判断で証跡を消去したりしない","ai_application_manual.pdf#page=2","ai_application_manual.pdf","page","2","true","assistant_draft_after_api_policy_block","verified"
"L01","語彙差","diagnostic","lexical_anonymized_case","word","名前を消した退会者のコメントなら、文章作成AIの回答例にそのまま使っても大丈夫ですか。","そのままは使えない。氏名を伏せるだけでは十分でなく、問い合わせ時期、製品構成、地域、対応経緯などの組合せで対象を推定できるため、入力範囲を見直す。","匿名化は氏名を伏せるだけでは十分でない|問い合わせの時期、製品構成、地域、担当部署、対応経緯の組合せも再識別の手掛かりになり得る|入力範囲を見直すか、外部AIを利用しない","ai_usage_policy.docx#section=17.1 適用条件","ai_usage_policy.docx","section","17.1 適用条件","false","assistant_draft_after_api_policy_block","verified"
"L02","語彙差","diagnostic","lexical_finance_incident","excel","まだ公表していない決算の数字を社外のチャットAIに貼ったかもしれません。どのくらい急いで、いつまでに誰へ知らせればよいですか。","重大度Highとして、1時間以内にセキュリティ窓口へ連絡する。","High|1時間以内|セキュリティ窓口","ai_escalation_sla.xlsx#sheet_name=エスカレーションSLA&row=High","ai_escalation_sla.xlsx","sheet_name","エスカレーションSLA","false","assistant_draft_after_api_policy_block","verified"
"L03","語彙差","diagnostic","lexical_meeting_upload","powerpoint","会議要約ツールが録音を自動で社外に送らないようにするには、いつ、どの設定を切ればよいですか。","申請前に自動アップロード設定を無効化する。","自動アップロード設定は申請前に無効化する","ai_incident_report_2026q1.pptx#slide=4","ai_incident_report_2026q1.pptx","slide","4","false","assistant_draft_after_api_policy_block","verified"
"L04","語彙差","diagnostic","lexical_try_first","pdf","まず少量のデータで外部AIを試し、問題がなければ後から申請してもよいですか。","認められない。承認前の試行入力も外部AI利用に含まれるため、AI-REQ-17を利用開始3営業日前までに提出して承認を得る。","承認前に社内資料を試行入力してはならない|承認前の試行入力も外部AI利用に含まれるため|申請フォーム AI-REQ-17|利用開始日の3営業日前までに提出する|利用サービスの承認状況を確認する","ai_application_manual.pdf#page=1|ai_application_manual.pdf#page=4","ai_application_manual.pdf","page","1|4","false","assistant_draft_after_api_policy_block","verified"
